date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:58	78810/78810	---M--	200	added ('OK')	image/jpeg	etag:%220dc19fc9d2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_135716388-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_135716388-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:39:08	137353/137353	---M--	200	added ('OK')	image/jpeg	etag:%2205cb0949e2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_171139961_HDR-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_171139961_HDR-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:39:15	84818/84818	---M--	200	added ('OK')	image/jpeg	etag:%220b68b39b2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_172132569_HDR-576x1024.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_172132569_HDR-576x1024.jpg	(from http://www.pegadaspelomundo.com.br/)
17:40:19	172738/172738	---M--	200	added ('OK')	image/jpeg	etag:%220b56709b2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_195522747-768x1024.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_195522747-768x1024.jpg	(from http://www.pegadaspelomundo.com.br/)
17:40:26	41966/41966	---M--	200	added ('OK')	image/jpeg	etag:%220c32d779b2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_212246761-1024x576.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_212246761-1024x576.jpg	(from http://www.pegadaspelomundo.com.br/)
17:42:43	2064196/2064196	---M--	200	added ('OK')	image/jpeg	etag:%2205ba46d9b2bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_195522747.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170602_195522747.jpg	(from http://www.pegadaspelomundo.com.br/)
17:42:52	82506/82506	---M--	200	added ('OK')	image/jpeg	etag:%2203d5a5fa32bd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170603_131327025-576x1024.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG_20170603_131327025-576x1024.jpg	(from http://www.pegadaspelomundo.com.br/)
17:43:19	5471/5471	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:19%20GMT	http://www.pegadaspelomundo.com.br/wp-login.php	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-login.html	(from http://www.pegadaspelomundo.com.br/)
17:43:20	102877/102877	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:19%20GMT	http://www.pegadaspelomundo.com.br/page/2/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/page/2/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:21	89639/89639	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:20%20GMT	http://www.pegadaspelomundo.com.br/page/30/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/page/30/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:24	111005/111005	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:23%20GMT	http://www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-2-lauterbrunnen-lucerna-grindewald-zermatt/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-2-lauterbrunnen-lucerna-grindewald-zermatt/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:30	55656/55656	---M--	200	added ('OK')	image/jpeg	etag:%220b21374f96d31:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/01/booking-banner.jpeg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/01/booking-banner.jpg	(from http://www.pegadaspelomundo.com.br/)
17:43:32	129758/129758	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:31%20GMT	http://www.pegadaspelomundo.com.br/vivendo-em-cracovia-roteiro-completo-para-turistas/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/vivendo-em-cracovia-roteiro-completo-para-turistas/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:33	683/683	---M-Z	200	added ('OK')	application/javascript	etag:%223110dbb11723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/skip-link-focus-fix.js?ver=20161114	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/skip-link-focus-fixb448.js	(from http://www.pegadaspelomundo.com.br/)
17:43:33	133465/133465	---M--	200	added ('OK')	image/jpeg	etag:%220f887c65c2cd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG-20180706-WA0034.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG-20180706-WA0034.jpg	(from http://www.pegadaspelomundo.com.br/)
17:43:34	3754/3754	---M-Z	200	added ('OK')	application/javascript	etag:%223110dbb11723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/navigation.js?ver=20161203	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/navigation6877.js	(from http://www.pegadaspelomundo.com.br/)
17:43:35	115218/115218	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:34%20GMT	http://www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-1-jungfraujoch-top-of-europe/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-6-dias-na-suica-parte-1-jungfraujoch-top-of-europe/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:36	109497/109497	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:35%20GMT	http://www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-1-dia-em-innsbruck-e-chegada-na-suica/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/eurotrip-2017-roteiro-de-1-dia-em-innsbruck-e-chegada-na-suica/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:37	111650/111650	---M--	200	added ('OK')	image/jpeg	etag:%22025b9c75c2cd41:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG-20180706-WA0034-766x1024.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2018/08/IMG-20180706-WA0034-766x1024.jpg	(from http://www.pegadaspelomundo.com.br/)
17:43:37	7754/7754	---M-Z	200	added ('OK')	application/javascript	etag:%22de9d3b11723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/global.js?ver=20190121	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/global5841.js	(from http://www.pegadaspelomundo.com.br/)
17:43:37	5836/5836	---M-Z	200	added ('OK')	application/javascript	etag:%223110dbb11723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo.js?ver=2.1.2	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo431f.js	(from http://www.pegadaspelomundo.com.br/)
17:43:38	87128/87128	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:37%20GMT	http://www.pegadaspelomundo.com.br/tag/brasil/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/brasil/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:39	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:%2280837bb3928bd51:0%22	http://www.pegadaspelomundo.com.br/wp-includes/js/wp-embed.min.js?ver=5.4.4	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/js/wp-embed.min7263.js	(from http://www.pegadaspelomundo.com.br/)
17:43:39	95803/95803	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:38%20GMT	http://www.pegadaspelomundo.com.br/tag/alemanha/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/alemanha/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:40	94970/94970	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:38%20GMT	http://www.pegadaspelomundo.com.br/tag/amsterda/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/amsterda/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:41	84646/84646	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:40%20GMT	http://www.pegadaspelomundo.com.br/tag/america-do-sul/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/america-do-sul/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:41	100402/100402	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:40%20GMT	http://www.pegadaspelomundo.com.br/tag/ancona/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/ancona/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:41	98055/98055	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:41%20GMT	http://www.pegadaspelomundo.com.br/tag/barcelona/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/barcelona/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:43	92117/92117	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:42%20GMT	http://www.pegadaspelomundo.com.br/tag/beberibe/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/beberibe/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:43	94967/94967	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:42%20GMT	http://www.pegadaspelomundo.com.br/tag/bruxelas/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/bruxelas/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:44	94950/94950	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:42%20GMT	http://www.pegadaspelomundo.com.br/tag/belgica/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/belgica/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:45	87073/87073	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:44%20GMT	http://www.pegadaspelomundo.com.br/tag/ceara/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/ceara/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:46	116636/116636	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:44%20GMT	http://www.pegadaspelomundo.com.br/tag/croacia/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/croacia/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:47	98025/98025	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:46%20GMT	http://www.pegadaspelomundo.com.br/tag/dublin/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/dublin/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:48	102024/102024	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:46%20GMT	http://www.pegadaspelomundo.com.br/tag/espanha/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/espanha/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:49	98173/98173	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:48%20GMT	http://www.pegadaspelomundo.com.br/tag/europa/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/europa/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:50	98189/98189	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:48%20GMT	http://www.pegadaspelomundo.com.br/tag/eurotrip/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/eurotrip/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:51	94962/94962	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:51%20GMT	http://www.pegadaspelomundo.com.br/tag/holanda/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/holanda/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:51	97026/97026	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:49%20GMT	http://www.pegadaspelomundo.com.br/tag/franca/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/franca/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:53	100377/100377	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:51%20GMT	http://www.pegadaspelomundo.com.br/tag/hvar/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/hvar/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:53	101293/101293	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:53%20GMT	http://www.pegadaspelomundo.com.br/tag/ibiza/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/ibiza/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:53	89942/89942	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:53%20GMT	http://www.pegadaspelomundo.com.br/tag/inglaterra/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/inglaterra/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:54	98204/98204	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:54%20GMT	http://www.pegadaspelomundo.com.br/tag/interlaken/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/interlaken/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:55	98031/98031	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:54%20GMT	http://www.pegadaspelomundo.com.br/tag/irlanda/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/irlanda/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:56	92747/92747	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:54%20GMT	http://www.pegadaspelomundo.com.br/tag/italia/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/italia/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:58	84443/84443	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:57%20GMT	http://www.pegadaspelomundo.com.br/tag/jericoacoara/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/jericoacoara/index.html	(from http://www.pegadaspelomundo.com.br/)
17:43:58	115943/115943	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:57%20GMT	http://www.pegadaspelomundo.com.br/tag/leste-europeu/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/leste-europeu/index.html	(from http://www.pegadaspelomundo.com.br/)
17:44:00	2330/2330	---M--	200	added ('OK')	application/json	date:Sat,%2023%20Jan%202021%2020:43:56%20GMT	http://www.pegadaspelomundo.com.br/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.pegadaspelomundo.com.br%2Fsobre-mim%2F	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-json/oembed/1.0/embed79c4.json	(from http://www.pegadaspelomundo.com.br/sobre-mim/)
17:44:00	87164/87164	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:43:59%20GMT	http://www.pegadaspelomundo.com.br/tag/litoral/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/tag/litoral/index.html	(from http://www.pegadaspelomundo.com.br/)
